IDAT,finalGrps,tay2.Subtype,simplifiedGrps
7973219003_R06C01,SHH_4,SHH_delta,SHH_4
7970368068_R01C02,SHH_3A,SHH_alpha,SHH_3
7970376002_R02C01,SHH_3A,SHH_alpha,SHH_3
7970376118_R03C01,SHH_3C,SHH_alpha,SHH_3
7973219052_R05C01,NA,SHH_beta,NA
7970376001_R06C01,SHH_2,SHH_beta,SHH_2
7810920068_R01C02,SHH_3A,SHH_alpha,SHH_3
7970368045_R02C01,SHH_2,SHH_gamma,SHH_2
7970376149_R02C02,SHH_3A,SHH_alpha,SHH_3
7973219019_R02C01,SHH_1,SHH_beta,SHH_1
7810920080_R03C01,SHH_4,SHH_alpha,SHH_4
7970368124_R06C01,SHH_4,SHH_alpha,SHH_4
7970368003_R05C02,SHH_3C,SHH_alpha,SHH_3
7810920080_R05C02,SHH_2,SHH_gamma,SHH_2
7973219042_R02C01,SHH_3B,SHH_alpha,SHH_3
7970376149_R01C01,SHH_2,SHH_gamma,SHH_2
7970376123_R05C01,SHH_1,SHH_beta,SHH_1
7970368106_R02C01,SHH_1,SHH_beta,SHH_1
7810920068_R02C02,SHH_4,SHH_delta,SHH_4
7973201069_R05C02,SHH_2,SHH_gamma,SHH_2
7973219042_R04C02,SHH_4,SHH_alpha,SHH_4
7973219003_R03C02,SHH_2,SHH_gamma,SHH_2
7973201149_R03C01,SHH_3A,SHH_alpha,SHH_3
8942326025_R06C02,SHH_4,SHH_delta,SHH_4
9326189027newLazer_R05C01,SHH_4,SHH_delta,SHH_4
7973201166_R01C02,SHH_3B,SHH_alpha,SHH_3
7970376123_R06C01,SHH_2,SHH_gamma,SHH_2
7970376085_R06C01,SHH_4,SHH_delta,SHH_4
8942351049_R06C01,SHH_4,SHH_delta,SHH_4
7970376150_R02C01,SHH_4,SHH_delta,SHH_4
8942334031_R06C02,SHH_1,SHH_beta,SHH_1
7970376150_R04C02,SHH_4,SHH_delta,SHH_4
