sample,category,fragment_count,total_fragment_size_bp,total_fragment_size_mb
A_LTX210_SU_T1-R1,8,0,0,0
A_LTX210_SU_T1-R2,1,0,0,0
A_LTX210_SU_T1-R2,2,2,9299,0.009299
A_LTX210_SU_T1-R2,3,25,393921149,393.921149
A_LTX210_SU_T1-R2,4,9,44831857,44.831857
A_LTX210_SU_T1-R2,5,0,0,0
A_LTX210_SU_T1-R2,6,0,0,0
A_LTX210_SU_T1-R2,7,3,139017052,139.017052
A_LTX210_SU_T1-R2,8,0,0,0
A_LTX210_SU_T1-R3,1,0,0,0
A_LTX210_SU_T1-R3,2,3,1900809,1.900809
A_LTX210_SU_T1-R3,3,33,436298122,436.298122
A_LTX210_SU_T1-R3,4,15,135632243,135.632243
A_LTX210_SU_T1-R3,5,2,27923827,27.923827
A_LTX210_SU_T1-R3,6,1,89527298,89.527298
A_LTX210_SU_T1-R3,7,0,0,0
A_LTX210_SU_T1-R3,8,0,0,0
A_LTX221_SU_T1-R1,1,1,139249,0.139249
A_LTX221_SU_T1-R1,2,15,162141985,162.141985
A_LTX221_SU_T1-R1,3,9,25129585,25.129585
A_LTX221_SU_T1-R1,4,0,0,0
A_LTX221_SU_T1-R1,5,0,0,0
A_LTX221_SU_T1-R1,6,0,0,0
A_LTX221_SU_T1-R1,7,0,0,0
A_LTX221_SU_T1-R1,8,0,0,0
A_LTX221_SU_T1-R2,1,0,0,0
A_LTX221_SU_T1-R2,2,16,142466427,142.466427
A_LTX221_SU_T1-R2,3,3,43574592,43.574592
A_LTX221_SU_T1-R2,4,0,0,0
A_LTX221_SU_T1-R2,5,0,0,0
A_LTX221_SU_T1-R2,6,0,0,0
A_LTX221_SU_T1-R2,7,0,0,0
A_LTX221_SU_T1-R2,8,0,0,0
A_LTX221_SU_T1-R3,1,0,0,0
A_LTX221_SU_T1-R3,2,1,124187,0.124187
A_LTX221_SU_T1-R3,3,12,142099914,142.099914
A_LTX221_SU_T1-R3,4,1,2821084,2.821084
A_LTX221_SU_T1-R3,5,1,43706286,43.706286
A_LTX221_SU_T1-R3,6,0,0,0
A_LTX221_SU_T1-R3,7,0,0,0
A_LTX221_SU_T1-R3,8,0,0,0
